时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2019-01-02 16:00:00,-1.37,0,0,0,0,0,1.39
2019-01-03 16:00:00,-1.52,0,0,0,0,0,1.54
2019-01-04 16:00:00,0.84,0,0,0,0,0,-0.83
2019-01-07 16:00:00,1.45,0,0,0,0,0,-1.43
2019-01-08 16:00:00,1.23,0,0,0,0,0,-1.22
2019-01-09 16:00:00,2.25,0,0,0,0,0,-2.2
2019-01-10 16:00:00,2.06,1.54,1538565.24,0,100195858,0,-0.51
2019-01-11 16:00:00,2.79,-0.26,0,-1800599.2,0,-71140920,-2.97
2019-01-14 16:00:00,1.9,-1.26,0,-998301.53,0,-27953484,-3.1
2019-01-15 16:00:00,3.9,-1.26,0,0,0,0,-4.97
2019-01-16 16:00:00,3.92,-1.26,0,0,0,0,-4.98
2019-01-17 16:00:00,3.35,-4.52,0,-3262348.96,98843194,0,-7.61
2019-01-18 16:00:00,5.23,-7.7,0,-3177325.54,0,-92553492,-12.29
2019-01-21 16:00:00,5.81,-6.53,1171010.03,0,92299900,0,-11.66
2019-01-22 16:00:00,4.41,-3.66,2871306.05,0,0,-96495350,-7.73
2019-01-23 16:00:00,4.33,-3.66,0,0,0,0,-7.66
2019-01-24 16:00:00,4.92,-3.66,0,0,0,0,-8.18
2019-01-25 16:00:00,5.77,-3.66,0,0,0,0,-8.92
2019-01-28 16:00:00,5.75,-3.66,0,0,0,0,-8.9
2019-01-29 16:00:00,6.09,-3.66,0,0,0,0,-9.19
2019-01-30 16:00:00,5.24,-3.66,0,0,0,0,-8.46
2019-01-31 16:00:00,6.34,-5.52,0,-1858572.41,91668042,0,-11.15
2019-02-01 16:00:00,7.86,-6.22,0,-701135.51,0,-49899624,-13.05
2019-02-11 16:00:00,9.83,-5.51,703716.07,0,0,-40056870,-13.97
2019-02-12 16:00:00,10.62,-5.51,0,0,0,0,-14.58
2019-02-13 16:00:00,12.83,-5.51,0,0,0,0,-16.25
2019-02-14 16:00:00,13,-5.51,0,0,0,0,-16.38
2019-02-15 16:00:00,10.9,-5.51,0,0,0,0,-14.8
2019-02-18 16:00:00,14.45,-5.51,0,0,0,0,-17.44
2019-02-19 16:00:00,14.25,-5.51,0,0,0,0,-17.3
2019-02-20 16:00:00,14.66,-5.51,0,0,0,0,-17.59
2019-02-21 16:00:00,14.35,-5.51,0,0,0,0,-17.37
2019-02-22 16:00:00,16.92,-5.51,0,0,0,0,-19.18
2019-02-25 16:00:00,23.88,-5.51,0,0,0,0,-23.72
2019-02-26 16:00:00,22.39,-5.51,0,0,0,0,-22.8
2019-02-27 16:00:00,22.18,-5.51,0,0,0,0,-22.66
2019-02-28 16:00:00,21.88,-5.51,0,0,0,0,-22.47
2019-03-01 16:00:00,24.55,-5.51,0,0,0,0,-24.13
2019-03-04 16:00:00,26.02,-5.51,0,0,0,0,-25.02
2019-03-05 16:00:00,26.75,-5.51,0,0,0,0,-25.45
2019-03-06 16:00:00,27.82,-5.51,0,0,0,0,-26.08
2019-03-07 16:00:00,26.51,-5.51,0,0,0,0,-25.31
2019-03-08 16:00:00,21.49,-5.51,0,0,0,0,-22.22
2019-03-11 16:00:00,23.89,-5.51,0,0,0,0,-23.73
2019-03-12 16:00:00,24.74,-5.51,0,0,0,0,-24.25
2019-03-13 16:00:00,23.7,-5.51,0,0,0,0,-23.61
2019-03-14 16:00:00,22.85,-5.51,0,0,0,0,-23.09
2019-03-15 16:00:00,24.39,-5.51,0,0,0,0,-24.04
2019-03-18 16:00:00,27.94,-5.51,0,0,0,0,-26.15
2019-03-19 16:00:00,27.35,-5.51,0,0,0,0,-25.8
2019-03-20 16:00:00,27.4,-5.51,0,0,0,0,-25.83
2019-03-21 16:00:00,27.44,-5.51,0,0,0,0,-25.86
2019-03-22 16:00:00,27.34,-5.51,0,0,0,0,-25.8
2019-03-25 16:00:00,24.32,-5.51,0,0,0,0,-23.99
2019-03-26 16:00:00,22.91,-5.51,0,0,0,0,-23.12
2019-03-27 16:00:00,24.34,-5.51,0,0,0,0,-24.01
2019-03-28 16:00:00,23.84,-5.51,0,0,0,0,-23.7
2019-03-29 16:00:00,28.62,-5.51,0,0,0,0,-26.54
2019-04-01 16:00:00,32,-5.51,0,0,0,0,-28.42
2019-04-02 16:00:00,31.91,-5.51,0,0,0,0,-28.37
2019-04-03 16:00:00,33.6,-5.51,0,0,0,0,-29.27
2019-04-04 16:00:00,34.93,-5.51,0,0,0,0,-29.97
2019-04-08 16:00:00,34.76,-5.51,0,0,0,0,-29.88
2019-04-09 16:00:00,35.37,-5.51,0,0,0,0,-30.2
2019-04-10 16:00:00,35.71,-5.51,0,0,0,0,-30.37
2019-04-11 16:00:00,32.78,-5.51,0,0,0,0,-28.84
2019-04-12 16:00:00,32.48,-5.51,0,0,0,0,-28.68
2019-04-15 16:00:00,32.05,-5.51,0,0,0,0,-28.44
2019-04-16 16:00:00,35.71,-5.51,0,0,0,0,-30.37
2019-04-17 16:00:00,35.76,-5.51,0,0,0,0,-30.4
2019-04-18 16:00:00,35.26,-5.51,0,0,0,0,-30.14
2019-04-19 16:00:00,36.87,-5.51,0,0,0,0,-30.96
2019-04-22 16:00:00,33.71,-5.51,0,0,0,0,-29.33
2019-04-23 16:00:00,33.49,-5.51,0,0,0,0,-29.22
2019-04-24 16:00:00,33.86,-5.51,0,0,0,0,-29.41
2019-04-25 16:00:00,30.93,-5.51,0,0,0,0,-27.83
2019-04-26 16:00:00,29.18,-5.51,0,0,0,0,-26.85
2019-04-29 16:00:00,29.55,-5.51,0,0,0,0,-27.06
2019-04-30 16:00:00,29.98,-5.51,0,0,0,0,-27.3
2019-05-06 16:00:00,22.39,-3.45,2058693.19,0,94529356,0,-21.11
2019-05-07 16:00:00,23.58,-0.17,3286403.29,0,0,-100032854,-19.22
2019-05-08 16:00:00,21.82,3.48,3649924.67,0,99854444,0,-15.05
2019-05-09 16:00:00,19.57,0.49,0,-2992113.01,0,-100673087,-15.96
2019-05-10 16:00:00,23.91,0.49,0,0,0,0,-18.9
2019-05-13 16:00:00,21.86,8.03,7539104.19,0,100619355,0,-11.35
2019-05-14 16:00:00,21.08,3.38,0,-4651607.35,0,-103671811,-14.62
2019-05-15 16:00:00,23.8,3.38,0,0,0,0,-16.49
2019-05-16 16:00:00,24.36,3.38,0,0,0,0,-16.87
2019-05-17 16:00:00,21.2,6.4,3021016.69,0,103524381,0,-12.21
2019-05-20 16:00:00,20.17,5.64,0,-756634.83,0,-105957565,-12.09
2019-05-21 16:00:00,21.79,6.39,745021.44,0,105835185,0,-12.64
2019-05-22 16:00:00,21.22,6.83,443226.1,0,0,-107194536,-11.87
2019-05-23 16:00:00,19.04,6.83,0,0,0,0,-10.26
2019-05-24 16:00:00,19.37,16.89,10058786.02,0,106963275,0,-2.08
2019-05-27 16:00:00,20.81,12.84,0,-4048903.05,0,-113152345,-6.6
2019-05-28 16:00:00,21.98,12.84,0,0,0,0,-7.49
2019-05-29 16:00:00,21.7,14.58,1738432.17,0,113036098,0,-5.85
2019-05-30 16:00:00,20.94,10.95,0,-3625699.31,0,-68597158,-8.26
2019-05-31 16:00:00,20.56,11.64,692229.53,0,0,-43423440,-7.4
2019-06-03 16:00:00,20.64,11.64,0,0,0,0,-7.46
2019-06-04 16:00:00,19.52,11.64,0,0,0,0,-6.59
2019-06-05 16:00:00,19.48,11.64,0,0,0,0,-6.56
2019-06-06 16:00:00,18.4,11.64,0,0,0,0,-5.71
2019-06-10 16:00:00,19.93,11.64,0,0,0,0,-6.91
2019-06-11 16:00:00,23.54,14.92,3276664.92,0,104533590,0,-6.98
2019-06-12 16:00:00,22.6,12.61,0,-2314608.68,0,-105664370,-8.15
2019-06-13 16:00:00,22.41,15.36,2755119.1,0,112686329,0,-5.76
2019-06-14 16:00:00,21.4,11.7,0,-3665121.08,0,-96969292,-7.99
2019-06-17 16:00:00,21.4,11.71,13982.5,0,0,-15000384,-7.98
2019-06-18 16:00:00,21.82,16.44,4726857,0,111710016,0,-4.42
2019-06-19 16:00:00,23.43,16.6,165533.93,0,0,-116787744,-5.53
2019-06-20 16:00:00,27.17,24.85,8247752.47,0,116585102,0,-1.82
2019-06-21 16:00:00,27.35,31.39,6536560.87,0,0,-58370868,3.17
2019-06-24 16:00:00,27.59,38.74,7357507,0,0,0,8.74
2019-06-25 16:00:00,26.26,46.75,8009438,0,0,0,16.23
2019-06-26 16:00:00,26.03,55.6,8847635,0,0,0,23.46
2019-06-27 16:00:00,27.38,45.92,0,-9685832,0,0,14.55
2019-06-28 16:00:00,27.07,37.16,0,-8754502,0,0,7.94
2019-07-01 16:00:00,30.73,36.41,0,-753632.24,0,-78231720,4.34
2019-07-02 16:00:00,30.77,43.68,7275394.82,0,136530606,0,9.87
2019-07-03 16:00:00,29.33,39.91,0,-3776149.08,0,-140253140,8.18
2019-07-04 16:00:00,28.65,39.91,0,0,0,0,8.75
2019-07-05 16:00:00,29.31,39.91,0,0,0,0,8.2
2019-07-08 16:00:00,26.31,53.15,13244796.07,0,139949781,0,21.25
2019-07-09 16:00:00,25.99,55.99,2836269.21,0,0,-156275990,23.81
2019-07-10 16:00:00,25.78,55.99,0,0,0,0,24.02
2019-07-11 16:00:00,25.73,55.99,0,0,0,0,24.07
2019-07-12 16:00:00,26.51,57.44,1448139.03,0,155956580,0,24.45
2019-07-15 16:00:00,27.02,55.02,0,-2412704.8,0,-155240614,22.04
2019-07-16 16:00:00,26.45,55.02,0,0,0,0,22.59
2019-07-17 16:00:00,26.37,61.63,6602229.13,0,155372916,0,27.9
2019-07-18 16:00:00,25.17,55.3,0,-6327080.55,0,-155897343,24.07
2019-07-19 16:00:00,26.48,55.3,0,0,0,0,22.79
2019-07-22 16:00:00,25.61,55.3,0,0,0,0,23.64
2019-07-23 16:00:00,25.88,55.3,0,0,0,0,23.37
2019-07-24 16:00:00,26.88,55.3,0,0,0,0,22.4
2019-07-25 16:00:00,27.91,55.3,0,0,0,0,21.41
2019-07-26 16:00:00,28.16,56.64,1344753.96,0,83260138,0,22.22
2019-07-29 16:00:00,28.02,53.94,0,-2707484.64,0,-39363570,20.25
2019-07-30 16:00:00,28.55,53.86,0,-79102.79,0,-34342916,19.69
2019-07-31 16:00:00,27.39,53.62,0,-238684.64,0,-8004336,20.59
2019-08-01 16:00:00,26.33,53.62,0,0,0,0,21.6
2019-08-02 16:00:00,24.47,53.62,0,0,0,0,23.42
2019-08-05 16:00:00,22.09,53.62,0,0,0,0,25.83
2019-08-06 16:00:00,20.78,58.3,4686836.55,0,153594832,0,31.06
2019-08-07 16:00:00,20.29,51.58,0,-6721804.27,0,-124599442,26.01
2019-08-08 16:00:00,21.88,51.59,5667.62,0,0,-27209520,24.38
2019-08-09 16:00:00,20.69,51.59,0,0,0,0,25.6
2019-08-12 16:00:00,22.87,51.59,0,0,0,0,23.37
2019-08-13 16:00:00,21.76,51.59,0,0,0,0,24.5
2019-08-14 16:00:00,22.31,51.59,0,0,0,0,23.94
2019-08-15 16:00:00,22.7,68.45,16856536.11,0,151779620,0,37.29
2019-08-16 16:00:00,23.25,66.68,0,-1767031.51,0,-167131930,35.24
2019-08-19 16:00:00,25.92,66.68,0,0,0,0,32.37
2019-08-20 16:00:00,25.81,66.68,0,0,0,0,32.49
2019-08-21 16:00:00,25.61,89.61,22928146.69,0,167021033,0,50.95
2019-08-22 16:00:00,26,98.26,8658342.91,0,0,-198916220,57.35
2019-08-23 16:00:00,26.91,98.26,0,0,0,0,56.22
2019-08-26 16:00:00,25.09,113.19,14920390.47,0,177378443,0,70.43
2019-08-27 16:00:00,26.78,111.25,0,-1936496.44,0,-190663413,66.63
2019-08-28 16:00:00,26.3,111.25,0,0,0,0,67.26
2019-08-29 16:00:00,25.89,111.25,0,0,0,0,67.81
2019-08-30 16:00:00,26.2,111.25,0,0,0,0,67.39
2019-09-02 16:00:00,27.82,111.25,0,0,0,0,65.27
2019-09-03 16:00:00,28,111.25,0,0,0,0,65.04
2019-09-04 16:00:00,29.08,111.25,0,0,0,0,63.66
2019-09-05 16:00:00,30.38,111.25,0,0,0,0,62.03
2019-09-06 16:00:00,31.15,111.25,0,0,0,0,61.08
2019-09-09 16:00:00,31.96,111.25,0,0,0,0,60.09
2019-09-10 16:00:00,31.51,111.25,0,0,0,0,60.63
2019-09-11 16:00:00,30.54,111.25,0,0,0,0,61.83
2019-09-12 16:00:00,31.94,111.25,0,0,0,0,60.11
2019-09-16 16:00:00,31.46,111.25,0,0,0,0,60.7
2019-09-17 16:00:00,29.25,111.25,0,0,0,0,63.44
2019-09-18 16:00:00,29.87,111.25,0,0,0,0,62.66
2019-09-19 16:00:00,30.35,111.25,0,0,0,0,62.06
2019-09-20 16:00:00,30.72,111.25,0,0,0,0,61.6
2019-09-23 16:00:00,29.23,111.25,0,0,0,0,63.47
2019-09-24 16:00:00,29.58,111.25,0,0,0,0,63.03
2019-09-25 16:00:00,28.58,111.25,0,0,0,0,64.29
2019-09-26 16:00:00,27.59,111.25,0,0,0,0,65.57
2019-09-27 16:00:00,27.97,111.25,0,0,0,0,65.08
2019-09-30 16:00:00,26.7,111.25,0,0,0,0,66.73
2019-10-08 16:00:00,27.47,111.25,0,0,0,0,65.73
2019-10-09 16:00:00,27.65,111.25,0,0,0,0,65.49
2019-10-10 16:00:00,28.7,111.25,0,0,0,0,64.14
2019-10-11 16:00:00,29.93,111.25,0,0,0,0,62.59
2019-10-14 16:00:00,31.31,111.25,0,0,0,0,60.88
2019-10-15 16:00:00,30.74,111.25,0,0,0,0,61.58
2019-10-16 16:00:00,30.29,111.25,0,0,0,0,62.14
2019-10-17 16:00:00,30.38,108.87,0,-2377003.08,110343600,0,60.2
2019-10-18 16:00:00,28.52,105.22,0,-3648257.06,0,-49771584,59.68
2019-10-21 16:00:00,28.9,106,772882.54,0,0,-55489581,59.81
2019-10-22 16:00:00,29.4,110.31,4311349.71,0,206080966,0,62.53
2019-10-23 16:00:00,28.58,107.75,0,-2559283.11,0,-208165472,61.57
2019-10-24 16:00:00,28.57,107.75,0,0,0,0,61.59
2019-10-25 16:00:00,29.43,107.75,0,0,0,0,60.51
2019-10-28 16:00:00,30.42,107.75,0,0,0,0,59.29
2019-10-29 16:00:00,29.88,107.75,0,0,0,0,59.96
2019-10-30 16:00:00,29.25,107.75,0,0,0,0,60.74
2019-10-31 16:00:00,29.1,107.75,0,0,0,0,60.92
2019-11-01 16:00:00,31.28,107.75,0,0,0,0,58.25
2019-11-04 16:00:00,32.13,107.75,0,0,0,0,57.23
2019-11-05 16:00:00,32.96,107.75,0,0,0,0,56.25
2019-11-06 16:00:00,32.36,107.75,0,0,0,0,56.96
2019-11-07 16:00:00,32.59,107.75,0,0,0,0,56.69
2019-11-08 16:00:00,31.97,107.75,0,0,0,0,57.42
2019-11-11 16:00:00,29.64,107.75,0,0,0,0,60.25
2019-11-12 16:00:00,29.66,107.75,0,0,0,0,60.23
2019-11-13 16:00:00,29.54,107.75,0,0,0,0,60.38
2019-11-14 16:00:00,29.73,107.75,0,0,0,0,60.14
2019-11-15 16:00:00,28.78,107.75,0,0,0,0,61.32
2019-11-18 16:00:00,29.8,111.28,3527718.8,0,207987329,0,62.77
2019-11-19 16:00:00,31.1,124.63,13349651.15,0,0,-225219881,71.34
2019-11-20 16:00:00,29.8,124.63,0,0,0,0,73.06
2019-11-21 16:00:00,29.19,124.63,0,0,0,0,73.88
2019-11-22 16:00:00,27.88,135.49,10860340.34,0,224625520,0,84.15
2019-11-25 16:00:00,28.82,112.14,0,-23345876.68,0,-212483600,64.68
2019-11-26 16:00:00,29.26,112.14,0,0,0,0,64.12
2019-11-27 16:00:00,28.73,108.91,0,-3229909.99,212139956,0,62.29
2019-11-28 16:00:00,28.29,105.8,0,-3112633.42,0,-143394940,60.42
2019-11-29 16:00:00,27.17,106.67,877495.46,0,0,-63612720,62.51
2019-12-02 16:00:00,27.42,106.67,0,0,0,0,62.2
2019-12-03 16:00:00,27.92,106.67,0,0,0,0,61.56
2019-12-04 16:00:00,27.87,106.67,0,0,0,0,61.63
2019-12-05 16:00:00,28.85,106.67,0,0,0,0,60.4
2019-12-06 16:00:00,29.62,106.67,0,0,0,0,59.44
2019-12-09 16:00:00,29.39,106.67,0,0,0,0,59.73
2019-12-10 16:00:00,29.55,113.72,7049300.66,0,206971138,0,64.97
2019-12-11 16:00:00,29.63,109.89,0,-3829380.88,0,-210526834,61.91
2019-12-12 16:00:00,29.24,109.89,0,0,0,0,62.4
2019-12-13 16:00:00,31.81,109.89,0,0,0,0,59.24
2019-12-16 16:00:00,32.45,109.89,0,0,0,0,58.47
2019-12-17 16:00:00,34.25,109.89,0,0,0,0,56.34
2019-12-18 16:00:00,33.95,109.89,0,0,0,0,56.69
2019-12-19 16:00:00,33.76,109.89,0,0,0,0,56.92
2019-12-20 16:00:00,33.43,105.92,0,-3979837.44,210124800,0,54.33
2019-12-23 16:00:00,31.77,92.76,0,-13153697.28,0,-193305600,46.29
2019-12-24 16:00:00,32.63,92.76,0,0,0,0,45.34
2019-12-25 16:00:00,32.56,92.76,0,0,0,0,45.41
2019-12-26 16:00:00,33.72,92.76,0,0,0,0,44.15
2019-12-27 16:00:00,33.59,92.76,0,0,0,0,44.29
2019-12-30 16:00:00,35.57,92.76,0,0,0,0,42.18
2019-12-31 16:00:00,36.07,92.76,0,0,0,0,41.66
2020-01-02 16:00:00,37.92,97.92,5159261.39,0,193035364,0,43.5
2020-01-03 16:00:00,37.68,93.59,0,-4331460.55,0,-194173501,40.61
2020-01-06 16:00:00,37.16,93.59,0,0,0,0,41.14
2020-01-07 16:00:00,38.18,93.59,0,0,0,0,40.1
2020-01-08 16:00:00,36.59,93.59,0,0,0,0,41.73
2020-01-09 16:00:00,38.32,93.59,0,0,0,0,39.96
2020-01-10 16:00:00,38.28,93.59,0,0,0,0,40
2020-01-13 16:00:00,39.64,93.59,0,0,0,0,38.64
2020-01-14 16:00:00,39.17,93.59,0,0,0,0,39.1
2020-01-15 16:00:00,38.4,93.59,0,0,0,0,39.88
2020-01-16 16:00:00,37.81,93.59,0,0,0,0,40.48
2020-01-17 16:00:00,38.01,93.59,0,0,0,0,40.27
2020-01-20 16:00:00,39.03,93.59,0,0,0,0,39.24
2020-01-21 16:00:00,36.66,93.59,0,0,0,0,41.66
2020-01-22 16:00:00,37.24,93.59,0,0,0,0,41.06
2020-01-23 16:00:00,32.99,93.59,0,0,0,0,45.57
2020-02-03 16:00:00,22.51,93.59,0,0,0,0,58.02
2020-02-04 16:00:00,25.74,93.59,0,0,0,0,53.96
2020-02-05 16:00:00,27.17,93.59,0,0,0,0,52.23
2020-02-06 16:00:00,29.53,93.59,0,0,0,0,49.46
2020-02-07 16:00:00,29.54,101.97,8385057.3,0,193589001,0,55.91
2020-02-10 16:00:00,30.07,94.48,0,-7490205.71,0,-194795163,49.52
2020-02-11 16:00:00,31.28,94.48,0,0,0,0,48.14
2020-02-12 16:00:00,32.34,94.48,0,0,0,0,46.95
2020-02-13 16:00:00,31.53,94.48,0,0,0,0,47.86
2020-02-14 16:00:00,32.45,94.48,0,0,0,0,46.83
2020-02-17 16:00:00,35.43,94.48,0,0,0,0,43.6
2020-02-18 16:00:00,34.77,95.65,1165000.81,0,170250640,0,45.17
2020-02-19 16:00:00,34.57,94.96,0,-693994.52,0,-170995015,44.88
2020-02-20 16:00:00,37.67,94.96,0,0,0,0,41.61
2020-02-21 16:00:00,37.83,94.96,0,0,0,0,41.45
2020-02-24 16:00:00,37.27,94.96,0,0,0,0,42.03
2020-02-25 16:00:00,36.98,94.96,0,0,0,0,42.33
2020-02-26 16:00:00,35.29,94.96,0,0,0,0,44.11
2020-02-27 16:00:00,35.68,94.96,0,0,0,0,43.69
2020-02-28 16:00:00,30.87,94.96,0,0,0,0,48.97
2020-03-02 16:00:00,35.18,94.96,0,0,0,0,44.22
2020-03-03 16:00:00,35.9,94.96,0,0,0,0,43.46
2020-03-04 16:00:00,36.68,94.96,0,0,0,0,42.64
2020-03-05 16:00:00,39.73,94.96,0,0,0,0,39.53
2020-03-06 16:00:00,37.46,95.88,920723.62,0,33507936,0,42.5
